Namespace,ParentClassName,HandleName,InterfaceName,SummaryText,ClassName,BaseClassName,CloseCode,InheritedHandleName,Munge,MungeR
Vanara.PInvoke,BCrypt,BCRYPT_ALG_HANDLE,IBCryptHandle,Provides a handle to a CNG object.,SafeBCRYPT_ALG_HANDLE,,BCryptCloseAlgorithmProvider(handle).Succeeded,BCRYPT_HANDLE,BCrypt|Algorithm,
Vanara.PInvoke,BCrypt,BCRYPT_HANDLE,IBCryptHandle,Provides a handle to a cryptography object.,,,,,BCrypt,
Vanara.PInvoke,BCrypt,BCRYPT_HASH_HANDLE,IBCryptHandle,Provides a handle to a multi-hash state.,SafeBCRYPT_HASH_HANDLE,,BCryptDestroyHash(handle).Succeeded,BCRYPT_HANDLE,BCrypt|Hash,
Vanara.PInvoke,BCrypt,BCRYPT_KEY_HANDLE,IBCryptHandle,Provides a handle to a key pair.,SafeBCRYPT_KEY_HANDLE,,BCryptDestroyKey(handle).Succeeded,BCRYPT_HANDLE,BCrypt|KeyPair|Key,
Vanara.PInvoke,BCrypt,BCRYPT_SECRET_HANDLE,IBCryptHandle,Provides a handle to a secret agreement.,SafeBCRYPT_SECRET_HANDLE,,BCryptDestroySecret(handle).Succeeded,BCRYPT_HANDLE,BCrypt|Secret,
Vanara.PInvoke,Crypt32,HCERT_SERVER_OCSP_RESPONSE,,Provides a handle to an online certificate status protocol (OCSP) response.,,,,,,
Vanara.PInvoke,Crypt32,HCERTCHAINENGINE,,Provides a handle to a Certificate Chain Engine.,SafeHCERTCHAINENGINE,,{ CertFreeCertificateChainEngine(handle); return true; },,CertificateChainEngine|Cert,
Vanara.PInvoke,Crypt32,HCERTSTORE,,Provides a handle to a certificate store.,SafeHCERTSTORE,,"CertCloseStore(handle, Flag)",,Certificate|Cert|ToStore|FromStore|Store,
Vanara.PInvoke,Crypt32,HCRYPTDEFAULTCONTEXT,,Provides a handle to a cryptographic default context.,,,,,DefaultContext|Crypt,
Vanara.PInvoke,Crypt32,HCRYPTHASH,,Provides a handle to a CryptoApi hash.,,,,,,
Vanara.PInvoke,Crypt32,HCRYPTKEY,,Provides a handle to a CryptoApi key.,SafeHCRYPTKEY,,CryptDestroyKey(handle),,Crypt|Key,
Vanara.PInvoke,Crypt32,HCRYPTMSG,,Provides a handle to a cryptographic-signed message.,SafeHCRYPTMSG,,CryptMsgClose(handle),,CryptMsg,
Vanara.PInvoke,Crypt32,HCRYPTOIDFUNCADDR,,Provides a handle to a OID function address.,,,,,,
Vanara.PInvoke,Crypt32,HCRYPTOIDFUNCSET,,Provides a handle to an OID function set.,,,,,,
Vanara.PInvoke,Crypt32,HCRYPTPROV,,Provides a handle to a CryptoAPI provider.,,,,,,
