Namespace,ParentClassName,HandleName,InterfaceName,SummaryText,ClassName,BaseClassName,CloseCode,InheritedHandleName
Vanara.PInvoke,FwpUClnt,HFWPCALLOUTCHANGE,IHandle,Provides a handle to a callout change subscription.,,,,
Vanara.PInvoke,FwpUClnt,HFWPCONNEVENT,IHandle,Provides a handle to a connection event.,,,,
Vanara.PInvoke,FwpUClnt,HFWPENG,IHandle,Provides a handle to a FWP Session Engine.,SafeHFWPENG,SafeHANDLE,FwpmEngineClose0(handle).Succeeded,
Vanara.PInvoke,FwpUClnt,HFWPMDYNKEYSUB,IHandle,Provides a handle to a subscriptor for dynamic keywords.,,,,
Vanara.PInvoke,FwpUClnt,HFWPMFILTERSUB,IHandle,Provides a handle to a filter subscription.,,,,
Vanara.PInvoke,FwpUClnt,HFWPMNETEVTSUB,IHandle,Provides a handle to a network event.,,,,
Vanara.PInvoke,FwpUClnt,HFWPMPROVCTXSUB,IHandle,Provides a handle to a provider context subscription.,,,,
Vanara.PInvoke,FwpUClnt,HFWPMPROVSUB,IHandle,Provides a handle to a provider subscription.,,,,
Vanara.PInvoke,FwpUClnt,HFWPMSUBLAYERSUB,IHandle,Provides a handle to a SubLayer subscription.,,,,
Vanara.PInvoke,FwpUClnt,HFWPMSWITCHEVTSUB,IHandle,Provides a handle to a switch event subscription.,,,,
Vanara.PInvoke,FwpUClnt,HFWPMSYSPORTSUB,IHandle,Provides a handle to a system ports subscription.,,,,
Vanara.PInvoke,FwpUClnt,HIPSECKEYMGRREG,IHandle,Provides a handle to an IPSec key manager registration.,,,,
Vanara.PInvoke,FwpUClnt,HIPSECSACTXSUB,IHandle,Provides a handle to a IPsec SA context subscription.,,,,
