Namespace,ParentClassName,HandleName,InterfaceName,SummaryText,ClassName,BaseClassName,CloseCode,InheritedHandleName,Munge,MungeR
Vanara.PInvoke,Kernel32,BoundaryDescriptorHandle,,Provides a handle to a boundary descriptor.,,,,,BoundaryDescriptor,
Vanara.PInvoke,Kernel32,HACTCTX,,Provides a handle to an account context.,SafeHACTCTX,,{ ReleaseActCtx(this); return true; },,ActCtx|W\b,
Vanara.PInvoke,Kernel32,HGLOBAL,,Provides a handle to heap allocated memory.,,,,,Global,
Vanara.PInvoke,Kernel32,HHEAP,,Provides a handle to a heap.,SafeHHEAP,,HeapDestroy(this),,Heap,
Vanara.PInvoke,Kernel32,HIORING,,Provides a handle to a IO Ring.,SafeHIORING,,CloseIoRing(handle).Succeeded,,IoRing,
Vanara.PInvoke,Kernel32,HJOB,ISyncHandle,Provides a handle to a job object.,SafeHJOB,SafeSyncHandle,,,Job,
Vanara.PInvoke,Kernel32,HLOCAL,,Provides a handle to a local heap allocation.,,,,,Local,
Vanara.PInvoke,Kernel32,HPCON,,Provides a handle to a psuedo console.,SafeHPCON,,{ ClosePseudoConsole(handle); return true; },,PseudoConsole,
Vanara.PInvoke,Kernel32,HPIPE,IKernelHandle,Provides a handle to a pipe.,SafeHPIPE,SafeHFILE,,HFILE,NamedPipe|Pipe,
Vanara.PInvoke,Kernel32,HPSS,,Provides a handle to a target snapshot.,SafeHPSS,,"PssFreeSnapshot(ProcessHandle, handle).Succeeded",,Pss|Snapshot,
Vanara.PInvoke,Kernel32,HPSSWALK,,Provides a handle to a wall marker.,SafeHPSSWALK,,PssWalkMarkerFree(handle).Succeeded,,Pss|WalkMarker,
Vanara.PInvoke,Kernel32,HRSRC,,Provides a handle to a resource.,,,,,Resource,
Vanara.PInvoke,Kernel32,HRSRCDATA,,Provides a handle to resource data.,,,,,ResourceData,
Vanara.PInvoke,Kernel32,HSNAPSHOT,IKernelHandle,Provides a handle to a snapshot.,SafeHSNAPSHOT,SafeKernelHandle,,,Snapshot|32,
Vanara.PInvoke,Kernel32,HTRXN,IKernelHandle,Provides a handle to a transaction.,,,,,Transaction,
Vanara.PInvoke,Kernel32,HUPDRES,,Provides a handle to an update resource.,SafeHUPDRES,,"EndUpdateResource(handle, IgnoreChanges)",,Resource,
Vanara.PInvoke,Kernel32,NamespaceHandle,,Provides a handle to a private namespace.,SafeNamespaceHandle,,"ClosePrivateNamespace(handle, flag)",,PrivateNamespace|Namespace,
Vanara.PInvoke,Kernel32,PACKAGE_INFO_REFERENCE,,A reference to package information.,SafePACKAGE_INFO_REFERENCE,,ClosePackageInfo(handle).Succeeded,,PackageInfo,
Vanara.PInvoke,Kernel32,PACKAGEDEPENDENCY_CONTEXT,,Provides a handle to a package dependency context.,,,,,,
Vanara.PInvoke,Kernel32,PerformanceDataHandle,,A performance data handle.,SafePerformanceDataHandle,,DisableThreadProfiling(handle).Succeeded,,ThreadProfiling,
Vanara.PInvoke,Kernel32,,,A performance data handle.,SafePowerRequestObject,SafeKernelHandle,,,PowerRequest,
Vanara.PInvoke,Kernel32,PTP_CLEANUP_GROUP,,Provides a handle to a pool cleanup group.,SafePTP_CLEANUP_GROUP,,{ if (AutoCloseMembers) CloseMembers(false); CloseThreadpoolCleanupGroup(handle); return true; },,ThreadpoolCleanupGroup,
Vanara.PInvoke,Kernel32,PTP_IO,,Provides a handle to a threadpool IO.,SafePTP_IO,,{ CloseThreadpoolIo(handle); return true; },,ThreadpoolIo,
Vanara.PInvoke,Kernel32,PTP_POOL,,Provides a handle to a thread pool.,SafePTP_POOL,,{ CloseThreadpool(handle); return true; },,Threadpool,
Vanara.PInvoke,Kernel32,PTP_TIMER,,Provides a handle to a threadpool timer.,SafePTP_TIMER,,{ CloseThreadpoolTimer(handle); return true; },,ThreadpoolTimer,
Vanara.PInvoke,Kernel32,PTP_WAIT,,Provides a handle to a threadpool wait.,SafePTP_WAIT,,{ CloseThreadpoolWait(handle); return true; },,ThreadpoolWait|Ex\b,
Vanara.PInvoke,Kernel32,PTP_WORK,,Provides a handle to a threadpool work.,SafePTP_WORK,,{ CloseThreadpoolWork(handle); return true; },,ThreadpoolWork,
Vanara.PInvoke,Kernel32,PUMS_COMPLETION_LIST,,Provides a handle to a completion list.,SafePUMS_COMPLETION_LIST,,DeleteUmsCompletionList(handle),,UmsCompletionList,
Vanara.PInvoke,Kernel32,PUMS_CONTEXT,,Provides a handle to a UMS context.,SafePUMS_CONTEXT,,DeleteUmsThreadContext(handle),,UmsThreadContext|UmsThread,
Vanara.PInvoke,Kernel32,TimerQueueHandle,,Provides a handle to a timer queue.,SafeTimerQueueHandle,,"DeleteTimerQueueEx(this, CompletionEvent)",,TimerQueueEx|TimerQueue|Timer,
Vanara.PInvoke,Kernel32,TimerQueueTimerHandle,,Provides a handle to a timer queue timer.,,,,,,
