Namespace,ParentClassName,HandleName,InterfaceName,SummaryText,ClassName,BaseClassName,CloseCode,InheritedHandleName
Vanara.PInvoke,WinMm,HMIDI,IHandle,Provides a handle to a MIDI input device or a MIDI thru device.,,,,
Vanara.PInvoke,WinMm,HMIDIIN,IHandle,Provides a handle to a MIDI input device.,,,,
Vanara.PInvoke,WinMm,HMIDIOUT,IHandle,Provides a handle to a MIDI output or thru device.,,,,
Vanara.PInvoke,WinMm,HMIDISTRM,IHandle,Provides a handle to a MIDI stream.,,,,
Vanara.PInvoke,WinMm,HMIXER,IHandle,Provides a handle to a mixer device.,,,,
Vanara.PInvoke,WinMm,HMIXEROBJ,IHandle,Provides a handle to a mixer device object.,,,,
Vanara.PInvoke,WinMm,HWAVEIN,IHandle,Provides a handle to a waveform-audio input device.,SafeHWAVEIN,SafeHANDLE,waveInClose(handle) == MMRESULT.MMSYSERR_NOERROR,
Vanara.PInvoke,WinMm,HWAVEOUT,IHandle,Provides a handle to a waveform-audio output device.,SafeHWAVEOUT,SafeHANDLE,waveOutClose(handle) == MMRESULT.MMSYSERR_NOERROR,
Vanara.PInvoke,WinMm,HDRVR,IHandle,Provides a handle to an installable driver.,SafeHDRVR,SafeHANDLE,CloseDriver(handle) != default,
Vanara.PInvoke,WinMm,HMMIO,IHandle,Provides a handle to a MMIO device.,,,,
Vanara.PInvoke,MsAcm32,HACMDRIVER,IHandle,Provides a handle to an ACM driver.,SafeHACMDRIVER,SafeHANDLE,acmDriverClose(handle) == WinMm.MMRESULT.MMSYSERR_NOERROR,
Vanara.PInvoke,MsAcm32,HACMDRIVERID,IHandle,Provides a handle to an ACM driver.,,,,
Vanara.PInvoke,MsAcm32,HACMOBJ,IHandle,Provides a handle to an ACM object.,,,,
Vanara.PInvoke,MsAcm32,HACMSTREAM,IHandle,Provides a handle to an ACM stream.,SafeHACMSTREAM,SafeHANDLE,acmStreamClose(handle) == WinMm.MMRESULT.MMSYSERR_NOERROR,
Vanara.PInvoke,Msvfw32,HDRAWDIB,IDeviceContextHandle,Provides a handle to a DrawDib DC.,SafeHDRAWDIB,SafeHANDLE,DrawDibClose(handle),
Vanara.PInvoke,Msvfw32,HIC,IHandle,Provides a handle to an image decompressor.,SafeHIC,SafeHANDLE,ICClose(handle) == IntPtr.Zero,
