Namespace,ParentClassName,HandleName,InterfaceName,SummaryText,ClassName,BaseClassName,CloseCode,InheritedHandleName
Vanara.PInvoke,AdvApi32,REGHANDLE,IHandle,Provides a handle to a provider registration handle.,SafeREGHANDLE,SafeHANDLE,EventUnregister(handle).Succeeded,
Vanara.PInvoke,AdvApi32,LSA_ENUMERATION_HANDLE,IHandle,Provides a handle to an LSA enumeration.,,,,
Vanara.PInvoke,AdvApi32,LSA_HANDLE,IHandle,Provides a handle to a LSA handle.,SafeLSA_HANDLE,SafeHANDLE,LsaClose(handle).Succeeded,
Vanara.PInvoke,AdvApi32,HPERFPROV,IHandle,Provides a handle to a performance provider.,SafeHPERFPROV,SafeHANDLE,PerfStopProvider(handle).Succeeded,
Vanara.PInvoke,AdvApi32,HPERFQUERY,IHandle,Provides a handle to a performance query.,SafeHPERFQUERY,SafeHANDLE,PerfCloseQueryHandle(handle).Succeeded,
Vanara.PInvoke,AdvApi32,HWCT,IHandle,Provides a handle to a thread wait chain.,SafeHWCT,SafeHANDLE,{ CloseThreadWaitChainSession(handle); return true; },
Vanara.PInvoke,AdvApi32,EncryptedFileContext,IHandle,Provides a context handle to an open encrypted file.,SafeEncryptedFileContext,SafeHANDLE,{ CloseEncryptedFileRaw(handle); return true; },
Vanara.PInvoke,AdvApi32,HEVENTLOG,IHandle,Provides a handle to an event log.,SafeHEVENTLOG,SafeHANDLE,CloseEventLog(handle),
Vanara.PInvoke,AdvApi32,SAFER_LEVEL_HANDLE,IHandle,Provides a handle to a safer level.,SafeSAFER_LEVEL_HANDLE,SafeHANDLE,SaferCloseLevel(handle),
Vanara.PInvoke,AdvApi32,SC_HANDLE,IHandle,Provides a handle to a service.,SafeSC_HANDLE,SafeHANDLE,CloseServiceHandle(handle),
Vanara.PInvoke,AdvApi32,SC_LOCK,IHandle,Provides a handle to a service lock.,,,,
Vanara.PInvoke,AdvApi32,SERVICE_STATUS_HANDLE,IHandle,Provides a handle to a service status handle.,,,,
Vanara.PInvoke,Authz,AUTHZ_ACCESS_CHECK_RESULTS_HANDLE,IHandle,Provides a handle to an access check results.,SafeAUTHZ_ACCESS_CHECK_RESULTS_HANDLE,SafeHANDLE,AuthzFreeHandle(handle),
Vanara.PInvoke,Authz,AUTHZ_AUDIT_EVENT_HANDLE,IHandle,Provides a handle to an Audit event.,SafeAUTHZ_AUDIT_EVENT_HANDLE,SafeHANDLE,AuthzFreeAuditEvent(handle),
Vanara.PInvoke,Authz,AUTHZ_CAP_CHANGE_SUBSCRIPTION_HANDLE,IHandle,Provides a handle to a CAP change notification subscription handle.,SafeAUTHZ_CAP_CHANGE_SUBSCRIPTION_HANDLE,SafeHANDLE,AuthzUnregisterCapChangeNotification(handle),
Vanara.PInvoke,Authz,AUTHZ_CLIENT_CONTEXT_HANDLE,IHandle,Provides a handle to a client context.,SafeAUTHZ_CLIENT_CONTEXT_HANDLE,SafeHANDLE,AuthzFreeContext(handle),
Vanara.PInvoke,Authz,AUTHZ_RESOURCE_MANAGER_HANDLE,IHandle,Provides a handle to a resource manager.,SafeAUTHZ_RESOURCE_MANAGER_HANDLE,SafeHANDLE,AuthzFreeResourceManager(handle),
Vanara.PInvoke,Authz,AUTHZ_SECURITY_EVENT_PROVIDER_HANDLE,IHandle,Provides a handle to the registered security event source.,SafeAUTHZ_SECURITY_EVENT_PROVIDER_HANDLE,SafeHANDLE,"AuthzUnregisterSecurityEventSource(0, handle)",
Vanara.PInvoke,Secur32,LsaConnectionHandle,IHandle,Provides a handle to an LSA connection.,SafeLsaConnectionHandle,SafeHANDLE,LsaDeregisterLogonProcess(handle).Succeeded,
Vanara.PInvoke,Tdh,TDH_HANDLE,IHandle,Provides a handle to a TDH.,,,,
Vanara.PInvoke,Secur32,PSEC_WINNT_AUTH_IDENTITY_OPAQUE,IHandle,Provides a handle to a auth identity.,SafePSEC_WINNT_AUTH_IDENTITY_OPAQUE,SafeHANDLE,{ SspiZeroAuthIdentity(handle); SspiFreeAuthIdentity(handle); return true; },
