Namespace,HandleName,InterfaceName,SummaryText,ClassName,BaseClassName,CloseCode
Vanara.Pinvoke,HACCEL,IUserHandle,Provides a handle to an accelerator table.,,,
Vanara.Pinvoke,HANDLE,IHandle,Provides a generic handle.,SafeHANDLE,SafeHandleV,true
Vanara.Pinvoke,HBITMAP,IGraphicsObjectHandle,Provides a handle to a bitmap.,,,
Vanara.Pinvoke,HBRUSH,IGraphicsObjectHandle,Provides a handle to drawing brush.,,,
Vanara.Pinvoke,HCOLORSPACE,IGraphicsObjectHandle,Provides a handle to a color space.,,,
Vanara.Pinvoke,HCURSOR,IGraphicsObjectHandle,Provides a handle to cursor.,,,
Vanara.Pinvoke,HDC,IHandle,Provides a handle to a graphic device context.,,,
Vanara.Pinvoke,HDESK,IKernelHandle,Provides a handle to a desktop.,,,
Vanara.Pinvoke,HDPA,IKernelHandle,Provides a handle to a DPA.,,,
Vanara.Pinvoke,HDROP,IShellHandle,Provides a handle to a Windows drop operation.,,,
Vanara.Pinvoke,HDSA,IKernelHandle,Provides a handle to a DSA.,,,
Vanara.Pinvoke,HDWP,IUserHandle,Provides a handle to a deferred windows position.,,,
Vanara.Pinvoke,HENHMETAFILE,IHandle,Provides a handle to an enhanced metafile.,,,
Vanara.Pinvoke,HEVENT,ISyncHandle,Provides a handle to a sync event.,,,
Vanara.Pinvoke,HFILE,ISyncHandle,Provides a handle to a file.,,,
Vanara.Pinvoke,HFONT,IGraphicsObjectHandle,Provides a handle to a font.,,,
Vanara.Pinvoke,HGDIOBJ,IGraphicsObjectHandle,Provides a handle to a graphic device object.,,,
Vanara.Pinvoke,HICON,IUserHandle,Provides a handle to an icon.,,,
Vanara.Pinvoke,HIMAGELIST,IShellHandle,Provides a handle to a Windows image list.,,,
Vanara.Pinvoke,HINSTANCE,IKernelHandle,Provides a handle to a module or library instance.,,,
Vanara.Pinvoke,HKEY,IKernelHandle,Provides a handle to a Windows registry key.,,,
Vanara.Pinvoke,HMENU,IUserHandle,Provides a handle to a menu.,,,
Vanara.Pinvoke,HMETAFILE,IHandle,Provides a handle to a metafile.,,,
Vanara.Pinvoke,HMONITOR,IKernelHandle,Provides a handle to a monitor.,,,
Vanara.Pinvoke,HPALETTE,IGraphicsObjectHandle,Provides a handle to a palette.,,,
Vanara.Pinvoke,HPEN,IGraphicsObjectHandle,Provides a handle to a drawing pen.,,,
Vanara.Pinvoke,HPROCESS,ISyncHandle,Provides a handle to a process.,,,
Vanara.Pinvoke,HPROPSHEET,IUserHandle,Provides a handle to a Windows property sheet.,,,
Vanara.Pinvoke,HPROPSHEETPAGE,IUserHandle,Provides a handle to a property sheet page.,,,
Vanara.Pinvoke,HRGN,IGraphicsObjectHandle,Provides a handle to a drawing region.,,,
Vanara.Pinvoke,HSECTION,IHandle,Provides a handle to a file mapping object.,,,
Vanara.Pinvoke,HTASK,IHandle,Provides a handle to a blocking task.,,,
Vanara.Pinvoke,HTHEME,IHandle,Provides a handle to a Windows theme.,,,
Vanara.Pinvoke,HTHREAD,ISyncHandle,Provides a handle to a thread.,,,
Vanara.Pinvoke,HTHUMBNAIL,IShellHandle,Provides a handle to a Windows thumbnail.,,,
Vanara.Pinvoke,HTOKEN,IKernelHandle,Provides a handle to an access token.,,,
Vanara.Pinvoke,HWINSTA,IKernelHandle,Provides a handle to a windows station.,,,
Vanara.Pinvoke,HWND,IUserHandle,Provides a handle to a window or dialog.,,,
Vanara.Pinvoke,PACE,ISecurityObject,Provides a pointer to an access control entry.,,,
Vanara.Pinvoke,PACL,ISecurityObject,Provides a handle to an access control list.,,,
Vanara.Pinvoke,PSECURITY_DESCRIPTOR,ISecurityObject,Provides a handle to a security descriptor.,,,
Vanara.Pinvoke,PSID,ISecurityObject,Provides a handle to a security identifier.,,,
