Namespace,ParentClassName,HandleName,InterfaceName,SummaryText,ClassName,BaseClassName,CloseCode,InheritedHandleName,Munge,MungeR
Vanara.PInvoke,User32,HDEVNOTIFY,IHandle,Handle to a device notification,SafeHDEVNOTIFY,SafeHANDLE,UnregisterDeviceNotification(handle),,,
Vanara.PInvoke,User32,DPI_AWARENESS_CONTEXT,IHandle,Provides a handle to a DPI awareness context.,,,,,,
Vanara.PInvoke,User32,HGESTUREINFO,IHandle,Provides a handle to a gesture info.,,,,,,
Vanara.PInvoke,User32,HTOUCHINPUT,IHandle,Provides a handle to a touch input.,,,,,,
Vanara.PInvoke,User32,HDESK,IUserObjectHandle,Provides a handle to a desktop.,SafeHDESK,SafeHANDLE,CloseDesktop(handle),,Desktop,
Vanara.PInvoke,User32,HWINSTA,IUserObjectHandle,Provides a handle to a window station.,SafeHWINSTA,SafeHANDLE,CloseWindowStation(handle),,WindowStation,
Vanara.PInvoke,User32,HHOOK,IUserHandle,Provides a handle to a hook.,SafeHHOOK,SafeHANDLE,UnhookWindowsHookEx(handle),,Hook|Ex\b,
Vanara.PInvoke,User32,HWINEVENTHOOK,IUserHandle,Provides a handle to a Windows Event Hook.,SafeHWINEVENTHOOK,SafeHANDLE,UnhookWinEvent(handle),,,
Vanara.PInvoke,User32,HRAWINPUT,IHandle,Provides a handle to a RAWINPUT structure.,,,,,,
Vanara.PInvoke,User32,HKL,IHandle,Provides a handle to an input locale identifier.,SafeHKL,SafeHANDLE,UnloadKeyboardLayout(handle),,,
Vanara.PInvoke,User32,HSYNTHETICPOINTERDEVICE,IHandle,Provides a handle to a synthetic pointer device.,SafeHSYNTHETICPOINTERDEVICE,SafeHANDLE,{ DestroySyntheticPointerDevice(handle); return true; },,,
